table,row_count,row_approx,ui_files,workflow_refs
leads,0,0,53,40
leave_requests,0,0,0,0
linkedin_outreach_queue,0,0,0,1
lovable_sync,0,0,0,0
ltv_cac_snapshots,118,0,2,1
maintenance_contracts,4,0,2,0
manual_email_campaigns,1,0,1,1
manual_email_recipients,1,0,1,1
market_signals,674,0,0,1
marketing_agencies,0,0,0,0
marketing_ai_activity,15,0,0,0
marketing_analytics,0,0,0,0
marketing_api_usage,0,0,0,0
marketing_calendar,1,0,2,0
marketing_campaigns,23,0,7,4
marketing_consent,0,0,2,0
marketing_content,14416,0,2,3
marketing_performance_log,0,0,1,1
marketing_personas,3,0,0,0
marketing_playbooks,30,0,1,0
marketing_predictions,35,0,0,1
marketing_sequence_enrollments,0,0,0,0
marketing_sequence_steps,22,0,2,0
marketing_sequence_templates,9,0,0,0
marketing_sequences,10,0,2,1
marketing_touchpoints,0,0,0,0
marketing_webhooks,0,0,0,0
master_api_keys,0,0,0,0
media_library,0,0,0,0
media_mentions,0,0,0,0
media_sources,0,0,0,0
meeting_links,1,0,0,0
message_queue,2,0,0,4
message_sentiment,127,0,0,1
message_templates,0,0,0,0
messages,340,0,35,45
migrations,148,0,0,0
multichannel_outreach,769,0,3,2
n8n_chat_histories,104,0,0,0
notifications,0,0,14,2
nps_surveys,0,0,0,0
oauth_clients,1,0,0,0
oauth_state_nonces,0,0,0,0
omega_alerts,23146,0,2,2
omega_approval_queue,0,0,0,0
omega_campaigns,3,0,0,1
omega_feedback,0,0,0,0
onboarding_audit_log,138,0,0,0
onboarding_checklists,0,0,1,0
onboarding_module_status,37,0,0,0
onboarding_retry_queue,0,0,0,0
onboarding_sessions,8,0,1,0
ops_agent_memory,90,0,0,0
ops_agent_performance,0,0,0,1
ops_agent_tasks,583,0,3,13
ops_budget_actuals,34,0,0,0
ops_budgets,11,0,3,0
ops_compliance_log,34,0,1,0
ops_compliance_rules,200,0,0,0
ops_cost_savings,10,0,2,0
ops_demand_forecasts,1182,0,1,0
ops_industry_benchmarks,9,0,0,0
ops_industry_configs,6,0,1,8
ops_inventory_items,33,0,3,0
ops_inventory_movements,191,0,0,0
ops_po_line_items,23,0,0,0
ops_production_plans,7,0,2,0
ops_production_tasks,49,0,1,0
ops_purchase_orders,41,0,3,0
ops_qc_checkpoints,4,0,0,0
ops_qc_results,3,0,2,0
ops_quality_alerts,9,0,0,0
ops_quality_checks,8435,0,0,0
ops_region_configs,4,0,0,0
ops_shipment_events,9,0,0,0
ops_shipments,4,0,2,0
ops_simulations,1,0,0,0
ops_slas,5,0,0,0
ops_templates,2,0,0,0
ops_vendor_performance,19,0,0,0
ops_vendors,11,0,2,0
optimization_reports,0,0,0,0
orchestrator_events,0,0,0,0
orchestrator_logs,83372,0,0,0
organizations,6,0,4,0
outbound_messages,871,0,8,24
package_items,0,0,0,1
packages,0,0,1,4
page_analytics,0,0,2,0
page_templates,12,0,1,0
patient_testimonials,0,0,1,0
patient_visits,0,0,0,0
patient_vitals,0,0,0,0
pending_actions,0,0,1,0
permissions,54,0,15,0
predictive_scores,0,0,1,0
premium_pages,0,0,2,0
pricing_analytics,0,0,0,0
pricing_logs,0,0,0,1
pricing_rules,0,0,0,0
profiles,1,0,8,6
project,1,0,17,15
project_relation,1,0,0,0
proposals,1,0,6,0
providers,0,0,7,2
rate_limits,0,0,0,0
re_api_keys,0,0,1,0
re_automation_log,47,0,0,1
re_clients,38,0,4,2
re_commissions,8,0,0,0
re_compliance_alerts,612,0,2,1
re_cross_border_rules,13,0,0,1
re_deal_orchestrations,0,0,1,0
re_deals,18,0,2,3
re_documents,8,0,0,0
re_eoi,5,0,1,0
re_investment_portfolio,2,0,1,1
re_investment_routes,0,0,0,0
re_lead_scores,38,0,1,1
re_listings,49,0,5,5
re_market_data,40,0,2,3
re_market_forecasts,677,0,1,1
re_matches,0,0,1,2
re_mortgage_banks,9,0,0,0
re_offplan_projects,60,0,1,1
re_portal_credentials,0,0,0,0
re_portal_sync_log,4,0,0,1
re_price_predictions,5,0,0,1
re_region_config,8,0,2,3
re_road_shows,4,0,1,0
re_training_knowledge,28,0,1,1
re_viewings,33,0,3,2
re_whatsapp_journeys,1,0,1,0
recruitment_campaigns,0,0,0,0
referrals,2,0,3,2
reminders,0,0,5,5
reply_events,8,0,1,2
reply_routing_rules,200,0,2,3
restaurant_inventory,0,0,1,0
restaurant_kitchen_display,0,0,1,0
restaurant_menus,3,0,1,0
restaurant_orders,0,0,2,0
restaurant_reservations,3,0,1,0
revenue_attribution,0,0,2,1
revenue_forecasts,0,0,0,0
review_response_templates,4,0,0,0
reviews,0,0,14,5
role,13,0,68,37
role_permissions,270,0,1,0
role_scope,422,0,0,0
roles,5,0,13,1
sales_ab_assignments,0,0,0,1
sales_ab_tests,0,0,0,1
sales_analytics_by_rep,0,0,0,0
sales_analytics_daily,0,0,0,0
sales_assignment_rules,0,0,0,0
sales_assignments,0,0,0,0
sales_availability,0,0,0,0
sales_calendar_events,0,0,0,0
sales_calls,0,0,0,0
sales_communication_limits,0,0,0,0
sales_compliance_log,0,0,0,0
sales_consent_records,0,0,0,0
sales_conversations,0,0,0,1
sales_deals,0,0,0,1
sales_do_not_contact,0,0,0,1
sales_email_verification,0,0,0,1
sales_emails,0,0,0,0
sales_lead_assignments,0,0,0,0
sales_leads,1085,0,22,43
sales_marketing_bridge,0,0,0,0
sales_phone_validation,0,0,0,0
sales_referrals,0,0,0,0
sales_sequences,14,0,0,0
sales_team_members,0,0,0,0
sales_territories,0,0,0,0
scheduled_messages,0,0,1,0
scope,174,0,9,5
scraped_content,5,0,0,0
