=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
hr_notifications                              ON   2    15    0         40 KB     
hr_payroll                                    ON   0    20    0         16 KB     
hr_payroll_periods                            ON   1    14    0         32 KB     
hr_performance_cycles                         ON   1    9     1         48 KB     
hr_performance_reviews                        ON   1    17    9         96 KB     
hr_policies                                   ON   0    11    0         24 KB     
hr_policy_acknowledgments                     ON   1    6     0         32 KB     
hr_public_holidays                            ON   1    8     2         80 KB     
hr_recruitment_outreach                       ON   1    32    0         56 KB     
hr_shifts                                     ON   1    12    1         64 KB     
hr_skills                                     ON   0    14    0         32 KB     
hr_sourcing_runs                              ON   5    33    40        184 KB    
hr_survey_responses                           ON   1    7     0         16 KB     
hr_surveys                                    ON   0    14    0         24 KB     
hr_training_enrollments                       ON   0    12    0         40 KB     
hr_training_programs                          ON   1    19    7         112 KB    
hr_training_records                           ON   1    22    13        64 KB     
inbound_messages                              ON   1    34    0         16 KB     
inbox_rotation_log                            ON   2    8     0         32 KB     
industry_campaign_templates                   ON   1    16    0         16 KB     
industry_lead_scoring                         ON   1    7     0         16 KB     
industry_templates                            ON   2    34    19        296 KB    
industry_vip_criteria                         ON   1    6     0         16 KB     
influencer_campaign_members                   ON   2    29    0         40 KB     
influencer_campaigns                          ON   2    30    0         32 KB     
influencer_outreach_log                       ON   2    13    0         24 KB     
influencers                                   ON   2    28    0         96 KB     
insights_by_period                            ON   1    6     2781      488 KB    
insights_metadata                             ON   1    5     40        40 KB     
insights_raw                                  ON   1    5     319       144 KB    
instrument_registry                           ON   1    21    10        48 KB     
insurance_claims                              ON   2    25    0         40 KB     
integration_logs                              ON   2    10    0         40 KB     
integration_usage                             ON   1    15    0         32 KB     
internal_notes                                ON   1    5     0         16 KB     
inventory_items                               ON   1    13    0         16 KB     
inventory_stock                               ON   1    11    0         8 KB      
inventory_transactions                        ON   1    13    0         16 KB     
ivr_flows                                     ON   1    15    3         48 KB     
ivr_templates                                 ON   2    10    10        64 KB     
journey_stages                                ON   1    17    0         16 KB     
knowledge_base                                ON   6    18    111       2 MB      
landing_page_submissions                      ON   1    8     0         16 KB     
landing_pages                                 ON   2    29    9         112 KB    
lead_ai_analysis                              ON   1    26    0         32 KB     
lead_engagement_events                        ON   2    13    3892      2 MB      
lead_gen_credit_logs                          ON   1    11    0         24 KB     
lead_gen_credits                              ON   6    11    3         48 KB     
lead_gen_history                              ON   6    29    228       168 KB    
lead_gen_saved_searches                       ON   1    33    0         32 KB     
lead_gen_search_logs                          ON   1    16    0         24 KB     
lead_gen_searches                             ON   1    26    0         24 KB     
lead_generation_jobs                          ON   1    33    0         16 KB     
lead_interactions                             ON   1    8     1037375   398 MB    
lead_magnets                                  ON   5    21    2         80 KB     
lead_notifications                            ON   2    12    0         48 KB     
lead_score_predictions                        ON   5    18    27        120 KB    
lead_scoring_models                           ON   5    19    22        64 KB     
lead_signals                                  ON   2    15    4174      3 MB      
leads                                         ON   1    23    0         72 KB     
leave_requests                                ON   1    12    0         16 KB     
linkedin_outreach_queue                       ON   1    10    0         16 KB     
lovable_sync                                  ON   1    6     0         16 KB     
ltv_cac_snapshots                             ON   6    18    118       144 KB    
maintenance_contracts                         ON   1    23    4         48 KB     
